"가구별일련번호","가구구분코드","노인가구여부","가구주_연령","주택소유유무","소득"
00095,1,0,44,2,8105000
00095,1,0,60,1,2435590
00095,1,1,67,1,1920000
00095,2,0,68,1,7385950
00096,1,0,61,2,10075737
00096,1,0,64,2,2228667
00096,2,0,64,2,233333
00096,2,0,73,1,413847
00097,1,0,44,2,7213441
00097,1,1,77,2,1630000
00097,1,1,78,2,1930167
00097,2,1,77,1,673333
00098,1,0,27,2,2660000
00098,1,0,27,2,2893333
00098,1,1,78,2,1630000
00098,2,1,73,1,791380
00099,1,0,58,2,860000
00099,2,0,36,1,4125000
00099,2,1,65,2,2023000
00099,2,1,77,1,2433000
00100,1,0,40,2,5164800
00100,1,0,42,2,1192300
00100,1,0,43,1,7719243
00100,1,0,48,2,2733333
00101,1,0,47,1,5433107
00101,1,0,57,2,4185000
00101,1,1,67,1,4298420
00101,1,1,68,1,3234580
00102,1,0,50,1,5587110
00102,1,0,58,2,3420000
00102,2,0,50,2,3566667
00102,2,1,68,1,5407400
00103,1,0,58,2,225000
00103,1,0,62,1,1086610
00103,1,0,62,1,1153277
00103,2,0,68,1,7649520
00104,1,0,48,2,2500000
00104,1,0,53,1,7177891
00104,1,0,53,1,7935975
00104,2,0,73,1,418390
00105,1,0,39,2,11940998
00105,1,0,39,2,6786000
00105,1,0,44,2,2642926
00105,1,0,57,2,4351667
00106,1,0,43,1,7727377
00106,1,0,50,2,3465057
00106,1,0,56,1,10354230
00106,1,0,56,1,9095310
00107,1,0,32,1,3942470
00107,1,0,63,1,4441520
00107,1,1,67,1,4648420
00107,2,1,78,2,951170
00108,1,0,61,1,2500000
00108,1,1,69,1,2564870
00108,2,1,68,1,5940733
00108,2,1,73,2,966000
00109,1,0,36,1,5304616
00109,1,0,55,2,2350000
00109,1,0,63,1,4259993
00109,2,1,79,2,701170
00110,1,0,57,1,3597534
00110,1,0,60,2,390766
00110,1,1,69,1,1788313
00110,2,1,74,2,666000
00111,1,0,37,1,5879416
00111,1,0,55,2,1576667
00111,2,0,62,1,4966667
00111,2,1,82,1,2689020
00112,1,0,37,1,5289176
00112,1,0,37,1,7632713
00112,1,0,60,2,1869116
00112,2,0,57,1,3973610
00113,1,0,36,1,3847870
00113,1,0,50,1,5049662
00113,2,0,52,1,5000000
00113,2,0,62,1,4566667
00114,1,0,37,1,9023167
00114,1,0,47,1,4500000
00114,1,0,48,1,3908267
00114,2,1,79,2,701170
00115,1,0,50,1,7630032
00115,2,0,46,1,8000000
00115,2,0,48,1,9111833
00115,2,1,74,2,666000
00116,1,0,24,2,3222910
00116,1,0,33,1,3149000
00116,1,0,47,1,4759667
00116,1,0,55,2,1325000
00117,1,0,60,2,1783133
00117,1,0,61,1,2500000
00117,2,0,32,2,1503118
00117,2,0,46,1,8000000
00118,1,0,37,1,8623167
